race_id,date,venue_slug,race_no,classes,n_players,expected_3rentan,true_line,n_lines,line_quality,line_source_url,parsed_3rentan,odds_quality,odds_snapshot_at,odds_snapshot_kind,bet_close_time,price_quality,price_usable,odds_source_url,context_quality,enriched_at
8520250501010001,2025-05-01,sasebo,1,"A1,A2",7,210,7-1-4-5/2-6/3,3,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501.html,210,full,2025-05-01 08:41,confirmed,08:35,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501010001/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:04:44
8520250501020001,2025-05-01,sasebo,1,"A1,A2",7,210,7-1-4-5/2-6/3,3,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501.html,210,full,2025-05-02 08:41,confirmed,08:35,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501020001/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:04:58
8520250501030001,2025-05-01,sasebo,1,"A1,A2",7,210,7-1-4-5/2-6/3,3,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501.html,210,full,2025-05-03 08:31,confirmed,08:25,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501030001/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:05:11
8520250501010002,2025-05-01,sasebo,2,"A1,A2",7,210,5-2-7/4/3/6-1,4,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501_2.html,210,full,2025-05-01 09:01,confirmed,08:55,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501010002/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:05:24
8520250501020002,2025-05-01,sasebo,2,A2,7,210,5-2-7/4/3/6-1,4,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501_2.html,210,full,2025-05-02 09:01,confirmed,08:55,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501020002/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:05:38
8520250501030002,2025-05-01,sasebo,2,"A1,A2",7,210,5-2-7/4/3/6-1,4,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501_2.html,210,full,2025-05-03 08:51,confirmed,08:45,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501030002/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:05:53
8520250501010003,2025-05-01,sasebo,3,"A1,A2",7,210,1-7-2/4/5-3-6,3,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501_3.html,210,full,2025-05-01 09:21,confirmed,09:15,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501010003/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:06:07
8520250501020003,2025-05-01,sasebo,3,"A1,A2",7,210,1-7-2/4/5-3-6,3,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501_3.html,210,full,2025-05-02 09:21,confirmed,09:15,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501020003/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:06:21
8520250501030003,2025-05-01,sasebo,3,"A1,A2",7,210,1-7-2/4/5-3-6,3,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501_3.html,210,full,2025-05-03 09:12,confirmed,09:06,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501030003/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:06:35
8520250501010004,2025-05-01,sasebo,4,"A1,A2",7,210,4-3-5/6-1/2-7,3,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501_4.html,210,full,2025-05-01 09:41,confirmed,09:35,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501010004/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:06:50
8520250501020004,2025-05-01,sasebo,4,"A1,A2",7,210,4-3-5/6-1/2-7,3,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501_4.html,210,full,2025-05-02 09:41,confirmed,09:35,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501020004/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:07:05
8520250501030004,2025-05-01,sasebo,4,"A1,A2",7,210,4-3-5/6-1/2-7,3,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501_4.html,210,full,2025-05-03 09:33,confirmed,09:27,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501030004/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:07:19
8520250501010005,2025-05-01,sasebo,5,"A1,A2",7,210,4-3-1/6/5-7-2,3,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501_5.html,210,full,2025-05-01 10:01,confirmed,09:55,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501010005/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:07:33
8520250501020005,2025-05-01,sasebo,5,"A1,A2",7,210,4-3-1/6/5-7-2,3,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501_5.html,210,full,2025-05-02 10:01,confirmed,09:55,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501020005/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:07:49
8520250501010006,2025-05-01,sasebo,6,"A1,A2",7,210,7-1-4/6-3-2/5,3,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501_6.html,210,full,2025-05-01 10:21,confirmed,10:15,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501010006/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:08:23
8520250501020006,2025-05-01,sasebo,6,"A1,A2",7,210,7-1-4/6-3-2/5,3,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501_6.html,210,full,2025-05-02 10:21,confirmed,10:15,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501020006/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:08:39
8520250501030006,2025-05-01,sasebo,6,"A1,A2",7,210,7-1-4/6-3-2/5,3,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501_6.html,210,full,2025-05-03 10:15,confirmed,10:09,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501030006/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:08:53
8520250501010007,2025-05-01,sasebo,7,A1,7,210,7-1-3/6-2-4-5,2,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501_7.html,210,full,2025-05-01 10:41,confirmed,10:35,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501010007/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:09:08
8520250501020007,2025-05-01,sasebo,7,A1,7,210,7-1-3/6-2-4-5,2,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501_7.html,210,full,2025-05-02 10:41,confirmed,10:35,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501020007/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:09:23
8520250501030007,2025-05-01,sasebo,7,A1,7,210,7-1-3/6-2-4-5,2,full,https://sp.oddspark.com/keirin/yosou/sasebo/2025/0501_7.html,210,full,2025-05-03 10:36,confirmed,10:30,confirmed,True,https://keirin.kdreams.jp/sasebo/racedetail/8520250501030007/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:09:38
2420250501010001,2025-05-01,utsunomiya,1,"A1,A2",7,210,1-2-6/4-3/5-7,3,full,https://sp.oddspark.com/keirin/yosou/utsunomiya/2025/0501.html,210,full,2025-05-01 20:42,confirmed,20:36,confirmed,True,https://keirin.kdreams.jp/utsunomiya/racedetail/2420250501010001/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:09:54
2420250501020001,2025-05-01,utsunomiya,1,"A1,A2",7,210,1-2-6/4-3/5-7,3,full,https://sp.oddspark.com/keirin/yosou/utsunomiya/2025/0501.html,210,full,2025-05-02 20:42,confirmed,20:36,confirmed,True,https://keirin.kdreams.jp/utsunomiya/racedetail/2420250501020001/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:10:08
2420250501030001,2025-05-01,utsunomiya,1,A2,7,210,1-2-6/4-3/5-7,3,full,https://sp.oddspark.com/keirin/yosou/utsunomiya/2025/0501.html,210,full,2025-05-03 20:43,confirmed,20:36,confirmed,True,https://keirin.kdreams.jp/utsunomiya/racedetail/2420250501030001/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:10:22
2420250501010002,2025-05-01,utsunomiya,2,"A1,A2",7,210,4-5/6-1-3/7-2,3,full,https://sp.oddspark.com/keirin/yosou/utsunomiya/2025/0501_2.html,210,full,2025-05-01 21:07,confirmed,21:00,confirmed,True,https://keirin.kdreams.jp/utsunomiya/racedetail/2420250501010002/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:10:38
2420250501020002,2025-05-01,utsunomiya,2,"A1,A2",7,210,4-5/6-1-3/7-2,3,full,https://sp.oddspark.com/keirin/yosou/utsunomiya/2025/0501_2.html,210,full,2025-05-02 21:06,confirmed,21:00,confirmed,True,https://keirin.kdreams.jp/utsunomiya/racedetail/2420250501020002/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:10:54
2420250501030002,2025-05-01,utsunomiya,2,"A1,A2",7,210,4-5/6-1-3/7-2,3,full,https://sp.oddspark.com/keirin/yosou/utsunomiya/2025/0501_2.html,210,full,2025-05-03 21:06,confirmed,21:00,confirmed,True,https://keirin.kdreams.jp/utsunomiya/racedetail/2420250501030002/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:11:07
2420250501010003,2025-05-01,utsunomiya,3,"A1,A2",7,210,2-3-6/7/4-1-5,3,full,https://sp.oddspark.com/keirin/yosou/utsunomiya/2025/0501_3.html,210,full,2025-05-01 21:30,confirmed,21:24,confirmed,True,https://keirin.kdreams.jp/utsunomiya/racedetail/2420250501010003/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:11:20
2420250501020003,2025-05-01,utsunomiya,3,"A1,A2",7,210,2-3-6/7/4-1-5,3,full,https://sp.oddspark.com/keirin/yosou/utsunomiya/2025/0501_3.html,210,full,2025-05-02 21:30,confirmed,21:24,confirmed,True,https://keirin.kdreams.jp/utsunomiya/racedetail/2420250501020003/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:11:35
2420250501030003,2025-05-01,utsunomiya,3,"A1,A2",7,210,2-3-6/7/4-1-5,3,full,https://sp.oddspark.com/keirin/yosou/utsunomiya/2025/0501_3.html,210,full,2025-05-03 21:31,confirmed,21:24,confirmed,True,https://keirin.kdreams.jp/utsunomiya/racedetail/2420250501030003/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:11:49
2420250501010004,2025-05-01,utsunomiya,4,"A1,A2",7,210,5-1-3/2-7/6-4,3,full,https://sp.oddspark.com/keirin/yosou/utsunomiya/2025/0501_4.html,210,full,2025-05-01 21:54,confirmed,21:48,confirmed,True,https://keirin.kdreams.jp/utsunomiya/racedetail/2420250501010004/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:12:03
2420250501020004,2025-05-01,utsunomiya,4,"A1,A2",7,210,5-1-3/2-7/6-4,3,full,https://sp.oddspark.com/keirin/yosou/utsunomiya/2025/0501_4.html,210,full,2025-05-02 21:54,confirmed,21:48,confirmed,True,https://keirin.kdreams.jp/utsunomiya/racedetail/2420250501020004/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:12:19
2420250501030004,2025-05-01,utsunomiya,4,"A1,A2",7,210,5-1-3/2-7/6-4,3,full,https://sp.oddspark.com/keirin/yosou/utsunomiya/2025/0501_4.html,210,full,2025-05-03 21:55,confirmed,21:48,confirmed,True,https://keirin.kdreams.jp/utsunomiya/racedetail/2420250501030004/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:12:32
2420250501010005,2025-05-01,utsunomiya,5,"A1,A2",7,210,1-2-6/7/3-4-5,3,full,https://sp.oddspark.com/keirin/yosou/utsunomiya/2025/0501_5.html,210,full,2025-05-01 22:19,confirmed,22:13,confirmed,True,https://keirin.kdreams.jp/utsunomiya/racedetail/2420250501010005/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:12:45
2420250501020005,2025-05-01,utsunomiya,5,"A1,A2",7,210,1-2-6/7/3-4-5,3,full,https://sp.oddspark.com/keirin/yosou/utsunomiya/2025/0501_5.html,210,full,2025-05-02 22:19,confirmed,22:13,confirmed,True,https://keirin.kdreams.jp/utsunomiya/racedetail/2420250501020005/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:13:01
