race_id,date,venue_slug,race_no,b1,b2,b3,odds_decimal,snapshot_at,snapshot_kind,source_url
7420230701030002,2023-07-01,kochi,2,1,3,2,185.6,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,4,2,88.0,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,5,2,129.4,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,6,2,13.3,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,7,2,137.9,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,2,3,55.2,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,4,3,242.4,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,5,3,338.0,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,6,3,43.3,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,7,3,316.5,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,2,4,63.1,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,3,4,446.2,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,5,4,296.5,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,6,4,27.7,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,7,4,281.6,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,2,5,90.7,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,3,5,474.5,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,4,5,237.8,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,6,5,22.1,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,7,5,135.1,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,2,6,34.5,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,3,6,192.3,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,4,6,77.8,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,5,6,71.5,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,7,6,61.6,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,2,7,116.8,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,3,7,459.9,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,4,7,289.6,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,5,7,134.6,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,1,6,7,22.6,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,3,1,156.6,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,4,1,94.0,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,5,1,384.4,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,6,1,149.0,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,7,1,478.9,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,1,3,155.8,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,4,3,63.4,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,5,3,604.4,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,6,3,176.8,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,7,3,623.6,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,1,4,135.7,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,3,4,127.2,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,5,4,593.0,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,6,4,136.8,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,7,4,494.0,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,1,5,216.1,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,3,5,307.5,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
7420230701030002,2023-07-01,kochi,2,2,4,5,226.6,2023-07-03 21:24,confirmed,https://keirin.kdreams.jp/kochi/racedetail/7420230701030002/?kakeshikiType=3rentan&pageType=odds
