race_id,date,venue_slug,race_no,classes,n_players,expected_3rentan,true_line,n_lines,line_quality,line_source_url,parsed_3rentan,odds_quality,odds_snapshot_at,odds_snapshot_kind,bet_close_time,price_quality,price_usable,odds_source_url,context_quality,enriched_at
8320251001030005,2025-10-01,kurume,5,"A1,A2",7,210,1-4-6/2-7/5-3,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_5.html,210,full,2025-10-03 17:31,confirmed,17:25,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001030005/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:04:26
8320251001010006,2025-10-01,kurume,6,"A1,A2",7,210,5-3-1/6/7-4-2,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_6.html,210,full,2025-10-01 17:57,confirmed,17:51,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001010006/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:04:40
8320251001020006,2025-10-01,kurume,6,"A1,A2",7,210,5-3-1/6/7-4-2,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_6.html,210,full,2025-10-02 18:03,confirmed,17:57,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001020006/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:04:54
8320251001030006,2025-10-01,kurume,6,A2,7,210,5-3-1/6/7-4-2,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_6.html,210,full,2025-10-03 17:55,confirmed,17:49,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001030006/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:05:09
8320251001010007,2025-10-01,kurume,7,"A1,A2",7,210,3-4-7/5-1/6-2,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_7.html,210,full,2025-10-01 18:21,confirmed,18:15,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001010007/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:05:24
8320251001020007,2025-10-01,kurume,7,"A1,A2",7,210,3-4-7/5-1/6-2,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_7.html,210,full,2025-10-02 18:27,confirmed,18:21,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001020007/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:05:40
8320251001030007,2025-10-01,kurume,7,"A1,A2",7,210,3-4-7/5-1/6-2,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_7.html,210,full,2025-10-03 18:19,confirmed,18:13,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001030007/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:05:54
8320251001010008,2025-10-01,kurume,8,"A1,A2",7,210,1-4-7/2-5-3/6,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_8.html,210,full,2025-10-01 18:45,confirmed,18:39,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001010008/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:06:08
8320251001020008,2025-10-01,kurume,8,"A1,A2",7,210,1-4-7/2-5-3/6,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_8.html,210,full,2025-10-02 18:53,confirmed,18:47,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001020008/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:06:23
8320251001030008,2025-10-01,kurume,8,"A1,A2",7,210,1-4-7/2-5-3/6,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_8.html,210,full,2025-10-03 18:43,confirmed,18:37,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001030008/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:06:39
8320251001010009,2025-10-01,kurume,9,"A1,A2",7,210,5-2/3-7-4/6-1,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_9.html,210,full,2025-10-01 19:12,confirmed,19:06,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001010009/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:06:54
8320251001020009,2025-10-01,kurume,9,"A1,A2",7,210,5-2/3-7-4/6-1,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_9.html,210,full,2025-10-02 19:19,confirmed,19:13,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001020009/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:07:10
8320251001030009,2025-10-01,kurume,9,"A1,A2",7,210,5-2/3-7-4/6-1,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_9.html,210,full,2025-10-03 19:10,confirmed,19:04,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001030009/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:07:26
8320251001010010,2025-10-01,kurume,10,"A1,A2",7,210,4-3-6/5-1/7-2,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_10.html,210,full,2025-10-01 19:39,confirmed,19:33,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001010010/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:07:40
8320251001020010,2025-10-01,kurume,10,"A1,A2",7,210,4-3-6/5-1/7-2,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_10.html,210,full,2025-10-02 19:45,confirmed,19:39,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001020010/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:07:54
8320251001010011,2025-10-01,kurume,11,A1,7,210,7-1-6/4-2/5-3,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_11.html,210,full,2025-10-01 20:09,confirmed,20:03,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001010011/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:08:08
8320251001020011,2025-10-01,kurume,11,"A1,A2",7,210,7-1-6/4-2/5-3,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_11.html,210,full,2025-10-02 20:15,confirmed,20:09,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001020011/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:08:22
8320251001030011,2025-10-01,kurume,11,"A1,A2",7,210,7-1-6/4-2/5-3,3,full,https://sp.oddspark.com/keirin/yosou/kurume/2025/1001_11.html,210,full,2025-10-03 20:10,confirmed,20:04,confirmed,True,https://keirin.kdreams.jp/kurume/racedetail/8320251001030011/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:08:36
6120251001010001,2025-10-01,tamano,1,"A1,A2",7,210,1-7/4-2-6/3-5,3,full,https://sp.oddspark.com/keirin/yosou/tamano/2025/1001.html,210,full,2025-10-01 15:41,confirmed,15:35,confirmed,True,https://keirin.kdreams.jp/tamano/racedetail/6120251001010001/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:08:51
6120251001020001,2025-10-01,tamano,1,"A1,A2",7,210,1-7/4-2-6/3-5,3,full,https://sp.oddspark.com/keirin/yosou/tamano/2025/1001.html,210,full,2025-10-02 15:51,confirmed,15:45,confirmed,True,https://keirin.kdreams.jp/tamano/racedetail/6120251001020001/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:09:05
6120251001030001,2025-10-01,tamano,1,"A1,A2",6,120,1/4-2-6/3-5,3,full,https://sp.oddspark.com/keirin/yosou/tamano/2025/1001.html,120,full,2025-10-03 15:47,confirmed,15:41,confirmed,True,https://keirin.kdreams.jp/tamano/racedetail/6120251001030001/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:09:20
6120251001010002,2025-10-01,tamano,2,"A1,A2",7,210,4-1-6/5-2/3-7,3,full,https://sp.oddspark.com/keirin/yosou/tamano/2025/1001_2.html,210,full,2025-10-01 16:05,confirmed,15:59,confirmed,True,https://keirin.kdreams.jp/tamano/racedetail/6120251001010002/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:09:33
6120251001020002,2025-10-01,tamano,2,"A1,A2",7,210,4-1-6/5-2/3-7,3,full,https://sp.oddspark.com/keirin/yosou/tamano/2025/1001_2.html,210,full,2025-10-02 16:15,confirmed,16:09,confirmed,True,https://keirin.kdreams.jp/tamano/racedetail/6120251001020002/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:09:48
6120251001030002,2025-10-01,tamano,2,"A1,A2",7,210,4-1-6/5-2/3-7,3,full,https://sp.oddspark.com/keirin/yosou/tamano/2025/1001_2.html,210,full,2025-10-03 16:11,confirmed,16:05,confirmed,True,https://keirin.kdreams.jp/tamano/racedetail/6120251001030002/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:10:05
6120251001010003,2025-10-01,tamano,3,"A1,A2",7,210,4-1/5-2/7-3/6,4,full,https://sp.oddspark.com/keirin/yosou/tamano/2025/1001_3.html,210,full,2025-10-01 16:29,confirmed,16:23,confirmed,True,https://keirin.kdreams.jp/tamano/racedetail/6120251001010003/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:10:19
6120251001020003,2025-10-01,tamano,3,"A1,A2",7,210,4-1/5-2/7-3/6,4,full,https://sp.oddspark.com/keirin/yosou/tamano/2025/1001_3.html,210,full,2025-10-02 16:39,confirmed,16:33,confirmed,True,https://keirin.kdreams.jp/tamano/racedetail/6120251001020003/?kakeshikiType=3rentan&pageType=odds,full,2026-09-02T03:10:32
